title,link,city,requerment
Python Developer,https://wuzzuf.net/jobs/p/bcxoOk52qWwd-Python-Developer-Digizilla-Cairo-Egypt,"Nasr City, Cairo, Egypt",
Python Developer,https://wuzzuf.net/jobs/p/bcxoOk52qWwd-Python-Developer-Digizilla-Cairo-Egypt,"Nasr City, Cairo, Egypt","['Python Developer', 'Entry Level', '· IT/Software Development', '· Engineering - Telecom/Technology']"
Python Developer,https://wuzzuf.net/jobs/p/lR3SbKQJfg2x-Python-Developer-Ensofia-Cairo-Egypt,"Heliopolis, Cairo, Egypt",
Python Developer,https://wuzzuf.net/jobs/p/lR3SbKQJfg2x-Python-Developer-Ensofia-Cairo-Egypt,"Heliopolis, Cairo, Egypt","['Python Developer', 'Experienced', '· IT/Software Development', '· Engineering - Telecom/Technology']"
Python Backend Developer,https://wuzzuf.net/jobs/p/16aJWsjp9umr-Python-Backend-Developer-Geek-Labs-Cairo-Egypt,"Maadi, Cairo, Egypt",
Python Backend Developer,https://wuzzuf.net/jobs/p/16aJWsjp9umr-Python-Backend-Developer-Geek-Labs-Cairo-Egypt,"Maadi, Cairo, Egypt","['Python Backend Developer', 'Entry Level', '· IT/Software Development', '· Other']"
AI & Data Science Python Developer Intern,https://wuzzuf.net/internship/1kma8fGoLuav-AI-Data-Science-Python-Developer-Intern-Sequel-Solutions-Cairo-Egypt,"Cairo, Egypt",
AI & Data Science Python Developer Intern,https://wuzzuf.net/internship/1kma8fGoLuav-AI-Data-Science-Python-Developer-Intern-Sequel-Solutions-Cairo-Egypt,"Cairo, Egypt","['AI & Data Science Python Developer Intern', 'Student', '· IT/Software Development', '· Engineering - Telecom/Technology']"
Python Backend Developer Internship,https://wuzzuf.net/internship/cPxAknEvzfYa-Python-Backend-Developer-Internship-Geek-Labs-Cairo-Egypt,"Maadi, Cairo, Egypt",
Python Backend Developer Internship,https://wuzzuf.net/internship/cPxAknEvzfYa-Python-Backend-Developer-Internship-Geek-Labs-Cairo-Egypt,"Maadi, Cairo, Egypt","['Python Backend Developer Internship', 'Entry Level', '· IT/Software Development']"
Senior Python Developer,https://wuzzuf.net/jobs/p/yXXbYwFMdtpX-Senior-Python-Developer-Trufla-Cairo-Egypt,"Cairo, Egypt",
Senior Python Developer,https://wuzzuf.net/jobs/p/yXXbYwFMdtpX-Senior-Python-Developer-Trufla-Cairo-Egypt,"Cairo, Egypt","['Senior Python Developer', 'Experienced', '· IT/Software Development']"
Python Developer,https://wuzzuf.net/jobs/p/fY1ghD7Eg2xO-Python-Developer-Cairo-Egypt,"Cairo, Egypt",
Python Developer,https://wuzzuf.net/jobs/p/fY1ghD7Eg2xO-Python-Developer-Cairo-Egypt,"Cairo, Egypt","['Python Developer', 'Experienced', '· IT/Software Development']"
Python Developer,https://wuzzuf.net/jobs/p/wq5UbMGyWx5P-Python-Developer-TechJump-Alexandria-Egypt,"Alexandria, Egypt",
Python Developer,https://wuzzuf.net/jobs/p/wq5UbMGyWx5P-Python-Developer-TechJump-Alexandria-Egypt,"Alexandria, Egypt","['Python Developer', 'Experienced', '· IT/Software Development', '· Engineering - Telecom/Technology']"
Automation Engineer,https://wuzzuf.net/jobs/p/UE5iIOVBdCRS-Automation-Engineer-Beni-Suef-Egypt,"Beni Suef, Beni Suef, Egypt",
